"Interval start","Graph 1"
"53.800","39"
"53.900","69"
"54.000","68"
"54.100","76"
"54.200","46"
"54.300","110"
"54.400","53"
"54.500","77"
"54.600","50"
"54.700","66"
"54.800","48"
"54.900","94"
"55.000","52"
"55.100","92"
"55.200","50"
"55.300","82"
"55.400","25"
"55.500","80"
"55.600","88"
"55.700","48"
"55.800","75"
"55.900","68"
"56.000","75"
"56.100","71"
"56.200","32"
"56.300","74"
"56.400","54"
"56.500","63"
"56.600","105"
"56.700","58"
"56.800","44"
"56.900","65"
"57.000","64"
"57.100","89"
"57.200","89"
"57.300","57"
"57.400","64"
"57.500","100"
"57.600","70"
"57.700","103"
"57.800","56"
"57.900","66"
"58.000","129"
"58.100","56"
"58.200","73"
"58.300","50"
"58.400","41"
"58.500","66"
"58.600","23"
"58.700","87"
"58.800","94"
"58.900","47"
"59.000","86"
"59.100","58"
"59.200","78"
"59.300","105"
"59.400","33"
"59.500","84"
"59.600","54"
"59.700","55"
"59.800","64"
"59.900","60"
"60.000","31"
"60.100","80"
"60.200","39"
"60.300","88"
"60.400","84"
"60.500","48"
"60.600","77"
"60.700","74"
"60.800","49"
"60.900","82"
"61.000","28"
"61.100","84"
"61.200","55"
"61.300","40"
"61.400","69"
"61.500","60"
"61.600","43"
"61.700","81"
"61.800","34"
"61.900","83"
"62.000","50"
"62.100","45"
"62.200","53"
"62.300","54"
"62.400","62"
"62.500","86"
"62.600","64"
"62.700","95"
"62.800","54"
"62.900","93"
"63.000","65"
"63.100","80"
"63.200","51"
"63.300","144"
"63.400","58"
"63.500","92"
"63.600","79"
"63.700","102"
"63.800","82"
"63.900","101"
"64.000","51"
"64.100","81"
"64.200","81"
"64.300","107"
"64.400","52"
"64.500","66"
"64.600","63"
"64.700","52"
"64.800","29"
"64.900","59"
"65.000","44"
"65.100","53"
"65.200","67"
"65.300","42"
"65.400","37"
"65.500","54"
"65.600","18"
"65.700","70"
"65.800","47"
"65.900","46"
"66.000","48"
"66.100","58"
"66.200","51"
"66.300","51"
"66.400","31"
"66.500","59"
"66.600","62"
"66.700","99"
"66.800","58"
"66.900","90"
"67.000","62"
"67.100","96"
"67.200","70"
"67.300","58"
"67.400","34"
"67.500","49"
"67.600","42"
"67.700","64"
"67.800","54"
"67.900","34"
"68.000","28"
"68.100","37"
"68.200","93"
"68.300","30"
"68.400","92"
"68.500","41"
"68.600","58"
"68.700","50"
"68.800","66"
"68.900","71"
"69.000","32"
"69.100","66"
"69.200","52"
"69.300","44"
"69.400","55"
"69.500","59"
"69.600","43"
"69.700","67"
"69.800","52"
"69.900","77"
"70.000","53"
"70.100","42"
"70.200","49"
"70.300","58"
"70.400","19"
"70.500","55"
"70.600","39"
"70.700","38"
"70.800","41"
"70.900","38"
"71.000","97"
"71.100","31"
"71.200","50"
"71.300","48"
"71.400","59"
"71.500","71"
"71.600","48"
"71.700","45"
"71.800","22"
"71.900","52"
"72.000","72"
"72.100","65"
"72.200","41"
"72.300","33"
"72.400","57"
"72.500","66"
"72.600","66"
"72.700","65"
"72.800","43"
"72.900","77"
"73.000","42"
"73.100","47"
"73.200","69"
"73.300","40"
"73.400","35"
"73.500","107"
"73.600","46"
"73.700","86"
"73.800","49"
"73.900","79"
"74.000","40"
"74.100","67"
"74.200","55"
