"Interval start","Graph 1","Graph 2","Graph 3"
"39.100","153","1449","748"
"39.200","168","1450","509"
"39.300","140","1461","655"
"39.400","181","1455","677"
"39.500","155","1452","610"
"39.600","170","1474","571"
"39.700","132","1472","698"
"39.800","127","1465","642"
"39.900","183","1472","734"
"40.000","132","1439","622"
"40.100","119","1467","684"
"40.200","167","1420","774"
"40.300","127","1467","651"
"40.400","129","1452","715"
"40.500","196","1488","520"
"40.600","123","1455","1056"
"40.700","96","1437","847"
"40.800","112","1451","779"
"40.900","136","1422","966"
"41.000","89","1399","866"
"41.100","92","1448","1027"
"41.200","104","1397","1142"
"41.300","57","1378","1584"
"41.400","179","1468","566"
"41.500","95","1445","942"
"41.600","91","1408","1411"
"41.700","68","1387","1129"
"41.800","103","1453","903"
"41.900","121","1408","1007"
"42.000","92","1390","1055"
"42.100","46","1355","1632"
"42.200","118","1439","1118"
"42.300","126","1423","807"
"42.400","119","1472","798"
"42.500","38","1384","2049"
"42.600","108","1435","769"
"42.700","123","1424","1117"
"42.800","55","1396","1347"
"42.900","146","1438","923"
"43.000","36","1239","2163"
"43.100","97","1463","963"
"43.200","105","1410","1196"
"43.300","49","1401","1336"
"43.400","78","1378","1570"
"43.500","154","1467","632"
"43.600","45","1404","2604"
"43.700","101","1469","842"
"43.800","49","1351","1851"
"43.900","142","1399","865"
"44.000","102","1423","961"
"44.100","72","1457","1085"
"44.200","164","1454","678"
"44.300","46","1388","1765"
"44.400","120","1426","1019"
"44.500","91","1473","1054"
"44.600","69","1398","1661"
"44.700","138","1426","697"
"44.800","68","1376","1172"
"44.900","121","1464","686"
"45.000","151","1439","904"
"45.100","106","1440","913"
"45.200","128","1425","732"
"45.300","45","1437","1710"
"45.400","133","1398","1001"
"45.500","85","1455","1006"
"45.600","56","1379","1544"
"45.700","98","1426","1251"
"45.800","49","1333","1851"
"45.900","45","1375","1799"
"46.000","212","1463","627"
"46.100","87","1421","1193"
"46.200","73","1423","1110"
"46.300","119","1475","782"
"46.400","179","1469","705"
"46.500","136","1449","698"
"46.600","90","1469","893"
"46.700","138","1433","842"
"46.800","104","1461","944"
"46.900","51","1388","1446"
"47.000","170","1441","695"
"47.100","133","1444","873"
"47.200","145","1457","643"
"47.300","97","1474","893"
"47.400","52","1409","1423"
"47.500","134","1430","981"
"47.600","98","1462","937"
"47.700","128","1440","960"
"47.800","59","1375","1576"
"47.900","145","1477","747"
"48.000","135","1476","551"
"48.100","56","1389","1614"
"48.200","163","1461","744"
"48.300","112","1460","878"
"48.400","106","1442","1084"
"48.500","153","1464","620"
"48.600","68","1444","1171"
"48.700","118","1438","779"
"48.800","131","1443","956"
"48.900","138","1390","786"
"49.000","62","1365","1301"
"49.100","145","1480","587"
"49.200","134","1430","1001"
"49.300","96","1420","815"
"49.400","112","1467","864"
"49.500","122","1432","953"
"49.600","151","1468","559"
"49.700","59","1397","1515"
"49.800","183","1467","563"
"49.900","165","1439","797"
"50.000","74","1365","1087"
"50.100","69","1453","1326"
"50.200","263","1472","484"
"50.300","130","1466","633"
"50.400","118","1457","768"
"50.500","155","1441","763"
"50.600","86","1424","1044"
"50.700","143","1458","721"
"50.800","107","1472","856"
"50.900","159","1440","779"
"51.000","71","1389","1409"
"51.100","82","1418","844"
"51.200","152","1438","862"
"51.300","176","1477","480"
"51.400","120","1457","677"
"51.500","172","1464","780"
"51.600","123","1428","786"
"51.700","87","1461","1063"
"51.800","103","1424","836"
"51.900","118","1417","1056"
"52.000","144","1452","653"
"52.100","118","1432","701"
"52.200","156","1449","788"
"52.300","106","1427","868"
"52.400","55","1349","1417"
"52.500","87","1433","1493"
"52.600","98","1430","645"
"52.700","115","1450","1148"
"52.800","83","1424","967"
"52.900","90","1401","949"
"53.000","124","1442","1065"
"53.100","59","1391","1313"
"53.200","84","1413","1539"
"53.300","110","1426","763"
"53.400","88","1423","1076"
"53.500","107","1432","941"
"53.600","57","1395","1567"
"53.700","167","1461","785"
"53.800","107","1461","774"
"53.900","55","1388","1466"
"54.000","163","1425","766"
"54.100","69","1419","1348"
"54.200","138","1433","859"
"54.300","90","1473","1050"
"54.400","139","1465","733"
"54.500","77","1405","1212"
"54.600","44","1329","1784"
"54.700","99","1421","1252"
"54.800","142","1458","692"
"54.900","87","1421","1257"
"55.000","138","1415","723"
"55.100","73","1451","1112"
"55.200","120","1445","923"
"55.300","150","1462","712"
"55.400","100","1417","1013"
"55.500","151","1454","610"
"55.600","64","1417","1233"
"55.700","128","1443","1007"
"55.800","123","1462","709"
"55.900","63","1392","1232"
"56.000","176","1472","766"
"56.100","119","1425","696"
"56.200","107","1422","866"
"56.300","122","1408","796"
"56.400","104","1454","890"
"56.500","186","1471","689"
"56.600","135","1453","646"
"56.700","173","1453","688"
"56.800","145","1464","669"
"56.900","83","1423","899"
"57.000","147","1452","845"
"57.100","149","1455","636"
"57.200","133","1450","811"
"57.300","142","1463","590"
"57.400","87","1430","910"
"57.500","186","1467","708"
"57.600","113","1463","756"
"57.700","100","1443","883"
"57.800","201","1458","624"
"57.900","109","1425","816"
"58.000","146","1472","809"
"58.100","130","1449","740"
"58.200","164","1447","620"
"58.300","102","1434","866"
"58.400","124","1461","703"
"58.500","153","1473","769"
"58.600","131","1478","708"
"58.700","83","1413","1396"
"58.800","157","1469","637"
"58.900","114","1464","679"
"59.000","34","1230","2353"
"59.100","101","1438","1117"
"59.200","64","1398","2025"
"59.300","53","1341","1563"
"59.400","82","1404","1018"
"59.500","61","1338","2169"
"59.600","39","1336","2028"
"59.700","56","1422","1702"
"59.800","62","1365","1933"
"59.900","73","1412","1151"
"60.000","72","1360","1593"
"60.100","34","1370","2287"
"60.200","53","1314","2403"
"60.300","48","1393","1787"
"60.400","60","1436","1382"
"60.500","71","1375","1890"
"60.600","39","1321","2234"
"60.700","51","1356","1661"
"60.800","52","1366","2463"
"60.900","58","1401","1069"
"61.000","70","1364","1777"
"61.100","42","1286","2091"
"61.200","51","1295","1640"
"61.300","45","1334","2867"
"61.400","57","1428","1444"
"61.500","28","1205","4669"
"61.600","67","1340","1232"
"61.700","43","1325","2191"
"61.800","44","1258","2718"
"61.900","145","1439","713"
"62.000","69","1405","1374"
"62.100","42","1302","1862"
"62.200","54","1376","2071"
"62.300","54","1296","1876"
"62.400","65","1419","1420"
"62.500","42","1311","2890"
"62.600","62","1397","1472"
"62.700","56","1379","1508"
"62.800","37","1213","2941"
"62.900","64","1389","1310"
"63.000","80","1373","1555"
"63.100","42","1332","2107"
"63.200","61","1393","1524"
"63.300","49","1314","2459"
"63.400","60","1409","1373"
"63.500","29","1301","3099"
"63.600","79","1420","1548"
"63.700","54","1452","1184"
"63.800","53","1334","2452"
"63.900","58","1388","1440"
"64.000","56","1320","2376"
"64.100","52","1324","1526"
"64.200","44","1376","2128"
"64.300","47","1307","2538"
"64.400","43","1321","2135"
"64.500","24","1228","3339"
"64.600","207","1471","573"
"64.700","158","1435","740"
"64.800","153","1474","615"
"64.900","150","1466","563"
"65.000","217","1475","559"
"65.100","139","1471","654"
"65.200","142","1474","593"
"65.300","147","1456","848"
"65.400","135","1466","622"
"65.500","113","1470","814"
"65.600","174","1455","583"
"65.700","118","1457","804"
"65.800","159","1439","744"
"65.900","112","1454","728"
"66.000","94","1417","1354"
"66.100","150","1461","597"
"66.200","120","1454","772"
"66.300","133","1460","885"
"66.400","134","1449","702"
"66.500","181","1452","579"
"66.600","110","1449","741"
"66.700","116","1430","890"
"66.800","137","1437","788"
"66.900","91","1395","1186"
"67.000","106","1463","615"
"67.100","171","1470","785"
